"category","category_name","category_family"
"1011000","AMERICAN WHISKIES","Whiskies"
"1011100","BLENDED WHISKIES","Whiskies"
"1011200","STRAIGHT BOURBON WHISKIES","Whiskies"
"1011300","SINGLE BARREL BOURBON WHISKIES","Whiskies"
"1011400","TENNESSEE WHISKIES","Whiskies"
"1011500","BOTTLED IN BOND BOURBON","Whiskies"
"1011600","STRAIGHT RYE WHISKIES","Whiskies"
"1011700","CORN WHISKIES","Whiskies"
"1012100","CANADIAN WHISKIES","Whiskies"
"1012200","SCOTCH WHISKIES","Whiskies"
"1012300","SINGLE MALT SCOTCH","Whiskies"
"1012400","IRISH WHISKIES","Whiskies"
"1022100","MIXTO TEQUILA","Tequilas"
"1022200","100% AGAVE TEQUILA","Tequilas"
"1022300","MEZCAL","Tequilas"
"1031000","AMERICAN VODKAS","Vodkas"
"1031100","AMERICAN VODKAS","Vodkas"
"1031200","AMERICAN FLAVORED VODKA","Vodkas"
"1032000","IMPORTED VODKAS","Vodkas"
"1032100","IMPORTED VODKAS","Vodkas"
"1032200","IMPORTED FLAVORED VODKA","Vodkas"
"1041100","AMERICAN DRY GINS","Gin"
"1041200","FLAVORED GIN","Gin"
"1041300","AMERICAN SLOE GINS","Gin"
"1042100","IMPORTED DRY GINS","Gin"
"1051100","AMERICAN BRANDIES","Brandies"
"1052100","IMPORTED BRANDIES","Brandies"
"1062100","GOLD RUM","Rum"
"1062200","WHITE RUM","Rum"
"1062300","AGED DARK RUM","Rum"
"1062400","SPICED RUM","Rum"
"1062500","FLAVORED RUM","Rum"
"1070000","COCKTAILS/RTD","RTD/Cocktails"
"1070100","TEMPORARY & SPECIALTY PACKAGES","Specialty/Other Spirits"
"1071000","COCKTAILS/RTD","RTD/Cocktails"
"1071100","COCKTAILS/RTD","RTD/Cocktails"
"1081000","AMERICAN CORDIALS & LIQUEURS","Liqueurs"
"1081100","COFFEE LIQUEURS","Liqueurs"
"1081200","CREAM LIQUEURS","Liqueurs"
"1081300","AMERICAN CORDIALS & LIQUEURS","Liqueurs"
"1081400","AMERICAN SCHNAPPS","Liqueurs"
"1081500","TRIPLE SEC","Liqueurs"
"1081600","WHISKEY LIQUEUR","Whiskies"
"1082000","IMPORTED CORDIALS & LIQUEURS","Liqueurs"
"1082100","IMPORTED CORDIALS & LIQUEURS","Liqueurs"
"1082200","IMPORTED SCHNAPPS","Liqueurs"
"1090000","DISTILLED SPIRITS SPECIALTY","Specialty/Other Spirits"
"1091000","AMERICAN DISTILLED SPIRITS SPECIALTY","Specialty/Other Spirits"
"1091100","AMERICAN DISTILLED SPIRITS SPECIALTY","Specialty/Other Spirits"
"1091200","NEUTRAL GRAIN SPIRITS","Vodkas"
"1091300","NEUTRAL GRAIN SPIRITS FLAVORED","Vodkas"
"1092000","IMPORTED DISTILLED SPIRITS SPECIALTY","Specialty/Other Spirits"
"1092100","IMPORTED DISTILLED SPIRITS SPECIALTY","Specialty/Other Spirits"
"1700000","TEMPORARY & SPECIALTY PACKAGES","Specialty/Other Spirits"
"1701100","TEMPORARY & SPECIALTY PACKAGES","Specialty/Other Spirits"
"1901000","SPECIAL ORDER ITEMS","Specialty/Other Spirits"
"1901200","SPECIAL ORDER ITEMS","Specialty/Other Spirits"
